username;giorno;mese;anno;orario;retweets;favorites;text;operatore;label
BrunoBarbieriEu;2019-02-16;2019-02;2019;09:22;0;0;Certo, fatta appena capitato il guasto. Ieri alle 18 è arrivato il tecnico, 9 giorni dopo. Ah, la Vodafone Station è da sostituire, arriverà tra 4/5 giorni. Questa è la situazione.;VODAFONE;D
albertoturrini;2019-02-16;2019-02;2019;08:03;0;0;@ TIM_Official attendo offerta internet domestico perché prossimo a disdetta @ VodafoneIT dopo 80 ore di guasto e 63 ore dalla segnalazione;VODAFONE;D
M03Andrea1;2019-02-15;2019-02;2019;23:22;0;0;@ VodafoneIT Salve, vorrei revocare il mio consenso al trattamento dei dati commerciali poiché, ultimamente, sto ricevendo, con cadenza GIORNALIERA, eccessive chiamate da parte dei vostri Call-center. Potreste indicarmi cosa fare gentilmente? # tw190;VODAFONE;D
lorenzomuscoso;2019-02-15;2019-02;2019;19:42;0;0;Rimborsatemi, passo a tim, ma vista una linea cosi Pessima;VODAFONE;D
lorenzomuscoso;2019-02-15;2019-02;2019;19:35;0;0;continua il disservizio # vodafogn , non riescono a ripristinare il problema # vodafonepic.twitter.com/FnjcDjWbg6;VODAFONE;D
fgraniglia;2019-02-15;2019-02;2019;16:04;0;0;@ VodafoneIT Quanto sarà possibile sottoscrivere contratti di linea fissa senza modem?;VODAFONE;D
mattlorenzetti;2019-02-15;2019-02;2019;13:54;0;0;@ VodafoneIT che succede a Porto Recanati? Sono senza linea;VODAFONE;D
piuuma;2019-02-15;2019-02;2019;11:44;0;0;Si ho provato anche con il reset. Ho accese solo le spie power e wi-fi. Quella di internet è spenta..;VODAFONE;D
albertoturrini;2019-02-15;2019-02;2019;11:09;0;0;@ VodafoneIT 54 ore dalla segnalazione, 66 dal guasto e internet ancora non funziona nonostante i soldi sborsati in tre anni.pessimo servizio.sto pensando seriamente alla disdetta # Vodafone # vodafoneguasto # vodafonedown # vodafonebroken;VODAFONE;D
Ale_2oo2;2019-02-14;2019-02;2019;22:16;0;0;Siete la linea peggiore di Italia;VODAFONE;D
poraccitudine;2019-02-14;2019-02;2019;21:23;0;0;@ VodafoneIT buonasera, ci sono problemi su rete mobile in zona # Milano ?;VODAFONE;D
GvStefano;2019-02-14;2019-02;2019;19:21;0;0;Ad una linea mobile. Ero a Vodafone, ma ora sono passato ad Homobile e la Vodafone, tramite l'agenzia Selecta mi cerca ancora soldi dopo aver pagato quanto dovuto. Pagamento saldato totalmente il 24.11.2018 e nuova richiesta di pagamento di storno da parte vostra 4 gg più tardi;VODAFONE;D
lucabattanta;2019-02-14;2019-02;2019;16:47;0;0;La risposta è sempre la solita cantilena. Il discorso è che la linea era stata aperta con questi valori dopo di che si è intervenuti a seguito di questi valori per un guasto ed è stata ripristinata correttamente ora si è ripresentato il problema e non è un’ oscillazione il 50%!;VODAFONE;D
eiichiro79;2019-02-14;2019-02;2019;16:45;0;0;@ VodafoneIT salve,ho constatato che già in 2 località distanti tra loro (nord italia e centro sud) che hanno in comune unicamente la vostra rete internet,stanno subendo degli attacchi dal seguente ip 85.93.20.38.;VODAFONE;D
lucabattanta;2019-02-14;2019-02;2019;16:07;1;0;Ho provveduto ad inoltrarvi tutto il dettaglio della linea che trovate anche nei messaggi privati intercorsi tra noi negli scorsi mesi. Speravo che una volta riparata dopo infiniti tentativi il problema non si ripresentasse ed invece si è ripresentato;VODAFONE;D
lucabattanta;2019-02-14;2019-02;2019;16:06;1;1;Questi erano i valori di quanto la linea di funzionava. Dirmi in privato che non ci sono anomalie quando va a 6 megabit contro 13 megabit è una completa presa in giro del cliente o incompetenza da parte vostra ! @ AGCOMunicapic.twitter.com/ZcA49M66Ly;VODAFONE;D
emagiardina;2019-02-14;2019-02;2019;15:42;0;0;Sì l’ho riavviato ma la situazione non è migliorata. Sono in piena copertura 4G.;VODAFONE;D
inescaloisi;2019-02-14;2019-02;2019;14:42;0;0;@ VodafoneIT mobile ma qui nessuno ha la linea mi hanno scritto che c’è’ un problema ma nessuna indicazione sulla risoluzione;VODAFONE;D
Ntonio71;2019-02-14;2019-02;2019;13:59;0;0;@ VodafoneIT mando dm linea fissa casa tks;VODAFONE;D
inescaloisi;2019-02-14;2019-02;2019;12:38;0;0;@ VodafoneIT si può sapere come mai non c'è linea ??????????????;VODAFONE;D
inescaloisi;2019-02-14;2019-02;2019;12:37;0;0;@ VodafoneIT coma mai non c'è linea di nuovo in Sardegna (BOSA) ?;VODAFONE;D
AlessioBones;2019-02-14;2019-02;2019;12:35;0;0;@ VodafoneIT ciao, sul 190 non son riuscito a parlare con un operatore, solo Tobi. Ho un problema sulla linea, come posso fare? Grazie;VODAFONE;D
ninuzzu3;2019-02-14;2019-02;2019;09:05;0;0;@ VodafoneIT sono in Spagna, non funziona mia linea 3913210347;VODAFONE;D
MarioBandini;2019-02-14;2019-02;2019;08:19;0;0;@ VodafoneIT praticamente devo staccare e riattaccare la connessione dati ogni volta che voglio accedere ad Internet. Mi sembra di stare negli anni '90...;VODAFONE;D
gian_d_gian;2019-02-14;2019-02;2019;02:34;0;1;@ VodafoneIT ho una VS resolution, da ieri sera ha smesso di funzionare: si accende solo il led rosso in basso, i led sopra restano spenti. connessione all'IP 192.168.1.1 non da alcun segno, in pratica la station non si avvia;VODAFONE;D
LegendSkiiLLz;2019-02-14;2019-02;2019;01:30;0;0;@ VodafoneIT Sono 15 giorni che sono passato in Vodafone ma non ho internet, ho aperto 15 segnalazioni e non è stato risolto nulla. Mi dite cosa devo fare?;VODAFONE;D
PiersandroG;2019-02-13;2019-02;2019;19:43;0;0;Su uno smartphone HSPA+ dà gli stessi problemi. Sul mio telefono attuale invece la mia SIM aziendale Wind 3 Business in casa segna 103 Mbps in download. C'è qualche problema in zona o sulla mia SIM Vodafone. Va troppo lenta. Fate dei controlli per favore.;VODAFONE;D
PiersandroG;2019-02-13;2019-02;2019;19:27;0;0;Pantigliate (MI), sotto copertura 4G+ ho quella velocità all'aperto con copertura piena. In casa va alla stessa velocità. Ho fatto una segnalazione tramite app, va così da quasi una settimana.;VODAFONE;D
TizianaLenti;2019-02-13;2019-02;2019;15:56;0;0;Problemi su linea fissa;VODAFONE;D
tired_at_3am;2019-02-13;2019-02;2019;15:29;0;0;@ VodafoneIT Salve, in seguito ad aver aggiornato l'app Mobile WiFi nella serata di ieri e dopo aver acceso la mobile station in giornata, mi si presenta questa schermata senza che abbia fatto null'altro e non so come risolvere il problema. Grazie per l'attenzione. pic.twitter.com/bVj0uIBKlV;VODAFONE;D
Cosmocritico;2019-02-13;2019-02;2019;10:05;0;3;"La mia colazione mi è andata di traverso parla do con un vostro cordialissimo collega (l'N-simo). Quando gli ho fatto notare che sono senza linea da 7 giorni, mi ha detto ""e non abbiamo mica solo lei come cliente"". Sono un vostro cliente 19 anni. Sono già sul sito della Tim. Bye";VODAFONE;D
fr4nk18;2019-02-13;2019-02;2019;08:49;0;0;ieri in attesa dalle 21 alle 22 e alle 22 messaggio che il servizio e’ attivo fino alle 22 io lo chiamo disservizio mi sono dovuto far prestare il telefono dal vicino di tavolo al ristorante per il momento mi aspetterei un rimbirso per il disservizio;VODAFONE;D
ErnestoNoschese;2019-02-12;2019-02;2019;21:45;0;0;@ VodafoneIT ricevo continue chiamate # indesiderate dal vostro call center tel. 0230416033 é normale ?;VODAFONE;D
rafmir71;2019-02-12;2019-02;2019;18:48;0;0;Il passaggio è già avvenuto....modem non ricevuto.... adesso sono senza linea!!!!;VODAFONE;D
Jacopo35945632;2019-02-12;2019-02;2019;18:03;0;0;No , da iphone e da mac stesso problema , con una altra sim vodafone su un altro telefono il sito che non andava viene visto ....;VODAFONE;D
Jacopo35945632;2019-02-12;2019-02;2019;17:51;0;0;@ VodafoneIT @ VodafoneIT attualmente ho una linea vodafone red + , purtroppo fatico molto ad entrare in parecchi siti http://google.com  http://google.it  http://ansa.it  eccecc dopo una mancata risposta del server mi da errore di connessione.;VODAFONE;D
Mario34mg;2019-02-12;2019-02;2019;17:51;2;2;Me ne sbatto del vostro supporto, sono 7 giorni senza fisso, e sono 7 giorni che mi chiamate x dirmi che entro sera il problema verrà risolto, con persona invalida in casa.;VODAFONE;D
GentileSara;2019-02-12;2019-02;2019;15:23;0;0;@ VodafoneIT non funziona la rete a chi devo rivolgermi?;VODAFONE;D
DavideCarella98;2019-02-12;2019-02;2019;15:06;0;0;Risolto con l'operatore, c'è un guasto sulla linea a quanto dicono, Cassino (FR), é stata aperta una segnalazione, buon lavoro!;VODAFONE;D
ma_sara_;2019-02-12;2019-02;2019;12:29;0;0;@ VodafoneIT buongiorno ho problemi con la linea fissa di casaRoma Sud. Sulla Vodafone station c'è la luce rossa su phone.Anche con le indicazioni presenti sul sito la situazione non cambia.Ho provato con il callcenter ma senza esito.A voi risultano problemi in zona?;VODAFONE;D
lorenzomuscoso;2019-02-12;2019-02;2019;12:11;0;0;siete un fallimento, sto passando ad altro operatore, servizio clienti inesistente, internet che gira. Scappate da @ VodafoneIT hanno una linea pessima # vodafogn # vodafone # truffavodafone # internet # web # mobilepic.twitter.com/TxxW6BpReH;VODAFONE;D
DomenicoSto;2019-02-12;2019-02;2019;11:27;0;0;"Siccome sono ""nuovo"", ho attivato la linea fissa a fine novembre 2018, la prima fattura è stata emessa a fine dicembre 2018 con pagamento tramite bonifico a gennaio. Quindi non ho ben capito il ciclo di fatturazione di cui parlavi. Ma è una mia curiosità, siete stati esaustivi.:)";VODAFONE;D
DomenicoSto;2019-02-12;2019-02;2019;11:07;0;0;E posso chiederti come mai la prima è arrivata dopo un mese? Cioè la fattura è stata emessa dopo un mese esatto dall'attivazione della linea? Grazie mille :);VODAFONE;D
DomenicoSto;2019-02-12;2019-02;2019;10:27;0;0;@ VodafoneIT Salve buongiorno, vorrei informazioni per quanto riguarda la fatturazione sulla mia linea di casa. Grazie anticipatamente :);VODAFONE;D
preet93724031;2019-02-12;2019-02;2019;10:21;0;1;Mi mancava da pagare una bolletta adesso Ieri ho pagato la bolleta pero non funziona Ancora il Internet;VODAFONE;D
AnnaTweety_;2019-02-11;2019-02;2019;21:02;0;0;Ho problemi con un vostra offerta sottoscritta il 31 gennaio che prevedeva applewatch e simple+ e per i nuovi clienti AirPod compresi nel prezzo ... peccato che il dono non sia mai arrivato e in più addebito per la linea 9,99 il 31 stesso e il 4 febbraio altri 9,99 scheda ric il6;VODAFONE;D
franchino65;2019-02-11;2019-02;2019;20:16;0;0;@ VodafoneIT ragazzi volevo segnalarvi un grave disservizio sulla rete a Leinì To 10040. Si può fare qualcosa? Help!!;VODAFONE;D
TintiSauro;2019-02-11;2019-02;2019;15:48;0;0;CAP 45037 non funziona la rete mobile;VODAFONE;D
eglelettica;2019-02-11;2019-02;2019;15:29;0;0;@ VodafoneIT ho un problema con la Vodafone station, le luci sono tutte spente e non riusciamo ad utilizzare internet, neanche effettuando il reset del modem, cosa devo fare?;VODAFONE;D
TintiSauro;2019-02-11;2019-02;2019;15:21;0;0;@ VodafoneIT ragazziiiii! A Melara cap 45037, la rete mobile non funziona;VODAFONE;D
markgrika;2019-02-11;2019-02;2019;14:51;0;0;Ma se non mi chiamate...;VODAFONE;D
EMaracco;2019-02-11;2019-02;2019;14:01;0;0;assenza di linea da questa notte ad Itri (latina)! A quando il ripristino?;VODAFONE;D
VincenzoOrabon1;2019-02-11;2019-02;2019;13:08;0;0;@ VodafoneIT Salve vorrei disattivare la ricarica automatica del mio numero di telefono, ma da App dice che non è possibile e il negozio mi dice di chiamare il 190. Come posso procedere? Grazie;VODAFONE;D
iBerto79;2019-02-11;2019-02;2019;11:41;0;0;@ VodafoneIT buongiorno, vorrei segnalare disagi nella ricezione da questa mattina in zona Castello di Brianza / Dolzago (LC). Scarso segnale per le chiamate e niente 4G. Attendo vostro riscontro. GRAZIE;VODAFONE;D
_Marco00;2019-02-11;2019-02;2019;11:39;0;0;Connessione internet totalmente assente...;VODAFONE;D
Leonard87651281;2019-02-11;2019-02;2019;11:15;0;0;Stamattina appena sveglio ho visto che il modem segna spia rossa internet e telefono e difatti non mi fa né uno né l’altro, potete darmi spiegazioni?;VODAFONE;D
artvisticsmile;2019-02-11;2019-02;2019;11:07;0;0;@ VodafoneIT non è possibile che io debba rimanere mezz’ora al telefono sprecando parte del mio tempo per ricevere l’assistenza di un consulente;VODAFONE;D
Cart_81;2019-02-11;2019-02;2019;08:37;0;0;Si, ho una segnalazione che ho dovuto aprire 9 ore dp il guasto... NOVE ORE!!! Che nessuno mi rimborserà...saluti;VODAFONE;D
enryfic;2019-02-10;2019-02;2019;17:25;0;0;@ VodafoneIT salve, sono Fichera Enrico titolare linea Vodafone 095222004, volevo eliminare la Vodafone Station a favore del Fritzbox 7590 in mio possesso! ( modem libero sentenza.....)Posso farlo senza perdere la fonia etc.. grazie;VODAFONE;D
BoomBoomSamu;2019-02-10;2019-02;2019;12:42;0;0;@ VodafoneIT Sono senza parole. Sono un vostro cliente da anni (fisso + mobile) e il vostro operatore mi ha appena detto al telefono che:;VODAFONE;D
starwaylab;2019-02-09;2019-02;2019;20:06;0;0;@ VodafoneIT buonasera dove posso trovare una mappa dei Centri Vodafone su Roma?Devo fare un trasloco della mia linea da una zona all’altra. Grazie.;VODAFONE;D
LukeCountry;2019-02-09;2019-02;2019;18:00;0;0;@ VodafoneIT Buona sera. A causa di una omonimia ricevo mail su una linea non mia.;VODAFONE;D
MammaMoglieDonn;2019-02-09;2019-02;2019;14:27;0;0;Ho due problemi uno con la rete fissa e uno con il traffico dati del cell...;VODAFONE;D
LucaBertoletti;2019-02-09;2019-02;2019;12:10;0;0;Buongiorno, ho attivata unlimited red + e da ieri pago navigazione internet in UE? C’è un problema del servizio?;VODAFONE;D
Carlo77263537;2019-02-09;2019-02;2019;10:33;0;0;Buongiorno! 3 giorni fa ho richiesto l’attivazione di una nuova linea (Vodafone Unlimited), l’operatore mi aveva detto che entro 3 giorni avrei ricevuto la sim con i 15gb/die per navigare insieme al modem, ma non ho ancora ricevuto nessun messaggio in merito o il tracking! Grazie;VODAFONE;D
carbsquin;2019-02-09;2019-02;2019;10:26;0;0;@ VodafoneIT scusate, ho un problema con internet dall'estero, potete darmi una mano?;VODAFONE;D
siceid;2019-02-09;2019-02;2019;08:34;0;2;4) Dovrò passare il tempo a scrivervi visto che dopo 2 mesi ancora ho gli stessi problemi sulla linea.;VODAFONE;D
GioJoebot;2019-02-08;2019-02;2019;19:23;0;0;@ VodafoneIT buonasera non riesco a contattarvi telefonicamente perche non sono vostro cliente da 5 anni credo... ho ricevuto oggi diverse telefonate dal vs numero 3490000190 (ovviamente non richiamabile) e la cosa mi sembra strana. come mai????;VODAFONE;D
storresi;2019-02-08;2019-02;2019;19:12;0;0;@ VodafoneIT è da stamane che la mia connessione non funziona, ho già provato a riavviare la station diverse volte e controllato cavi, prese, etc. Il wifi e la LAN funzionano, sono certo sia un problema di linea. Potete aiutarmi?;VODAFONE;D
rrossomando1;2019-02-08;2019-02;2019;15:07;0;0;@ VodafoneIT 3479101549, avete prelevato indebitamente il giorno 7 febbraio , 2 volte addebitato 14,99 come invece è di regola il 22 di ogni mese. ora il mio credito è negativo e non posso chiamare se non stornate e mettete a posto non pago piu e mi tengo pure il telefono.;VODAFONE;D
rrossomando1;2019-02-08;2019-02;2019;15:02;0;0;@ VodafoneIT mi mancano i soldi per chiamare per un vostro errore n.cell.3479101549 , si legge ce avete prelevato ingiustificatamente 2 volte 14,99 stornato una volta soltanto adesso il mio credito è negativo se non stornate e mettete a posto il tutto , non pago e mi tengo il cell;VODAFONE;D
MaurizioM;2019-02-08;2019-02;2019;13:34;0;0;@ VodafoneIT ci sono problemi al Rione Monti a Roma? Non c’è segnale da tre ore;VODAFONE;D
LorenzoSar_;2019-02-08;2019-02;2019;13:19;0;0;@ VodafoneIT # vodafone C’è un disservizio veramente grave. Ho già parlato con un vostro operatore e mi ha confermato: quando chiamano me o altre persone colpite dal disservizio, risulta che il numero è inesistente. Non ricevo neanche msg di tentata chiamata. # milano;VODAFONE;D
DubSalvo;2019-02-08;2019-02;2019;09:13;0;0;Forse per Voi buongiorno, non per me con addebito su linea privata di fattura di 81,98 EUR, quando gli accordi a causa di un vostro # disservizio erano ben diversi(10 EUR). Bel modo di trattare un cliente che con Voi ha pure un'altra linea fissa e cellulare aziendale. Bravi;VODAFONE;D
MMedifocus;2019-02-08;2019-02;2019;08:11;0;0;@ VodafoneIT @ TIM_Official @ Tre_It quando provvederete a far avere agli utenti che vi pagano un segnale stabile anche sotto la metro di Roma? Siamo nel 2019! # ILDISAGIODIVIVEREAROMA;VODAFONE;D
birbadoro;2019-02-08;2019-02;2019;07:32;0;0;sono anni che viaggio sulla linea ferroviaria Roma Ternini-Nettuno. sono cliente Vodafone da anni. è possibile che tra le fermate di Padiglione e Lido di Lavinio manchi il vostro segnale? sappiate che proprio a Padiglione i treni fanno soste di minuti e perdete telefonate e byte;VODAFONE;D
caesargre;2019-02-07;2019-02;2019;19:02;0;0;@ VodafoneIT salve, mi è arrivata una fattura per il periodo novembre/dicembre. Io ho chiuso la linea fissa a giugno/luglio. Che succede?;VODAFONE;D
robertarindone;2019-02-07;2019-02;2019;18:04;0;0;@ VodafoneIT buona sera, ci siete? Ho un problema con la rete domestica...;VODAFONE;D
Tony33796378;2019-02-07;2019-02;2019;08:06;0;0;Buongiorno Vodafone. Vorrei segnalare cortesemente lassenza di campo nella zona dei castelli romani tra Genzano di Roma e Velletri. Sarà mai previsto un ampliamento del segnale in determinate zone? Grazie.;VODAFONE;D
tamararamos2391;2019-02-06;2019-02;2019;19:32;0;0;@ VodafoneIT abbiamo un problema con internet a casa come posso fare?;VODAFONE;D
fetiberi_;2019-02-06;2019-02;2019;16:32;0;0;@ VodafoneIT ho un problema sulla mia linea mobile che sinceramente non saprei nemmeno come spiegare. Posso effettuare chiamate ma a chiunque provi a chiamarmi dice che il numero è inesistente o non raggiungibile. Perché?;VODAFONE;D
DiegoGrisanti;2019-02-06;2019-02;2019;16:15;0;0;ma poi mi giurate che non mi chiamate piu oppure perdo solo tempo io , e come sempre non mi torna indietro nulla ?;VODAFONE;D
Cianfri;2019-02-06;2019-02;2019;11:21;0;0;Speriamo @ VodafoneIT risolviate perché si sta creando un disagio notevole, che si sta protraendo da 2 giorni;VODAFONE;D
natsilvamu;2019-02-06;2019-02;2019;09:51;0;0;@ VodafoneIT buongiorno! il servizio di wifi nella mia casa non sta funzionando da ieri e non funziona ricominciare il router...;VODAFONE;D
peppssss;2019-02-05;2019-02;2019;22:00;0;0;@ VodafoneIT ritengo Tobi un insulto all’intelligenza umana, soprattutto per un cliente che è senza telefono da una settimana ed è costretto a richiamare continuamente perché non riceve la dovuta assistenza. Con la follia che pago un umano a cui chiedere me lo meriterò no?;VODAFONE;D
NelloMeo;2019-02-05;2019-02;2019;19:27;0;0;@ VodafoneIT Buonasera, é da stamattina che ho problemi con la linea fissa. Niente internet né telefono. È possibile essere contattati su un Cell per un controllo?;VODAFONE;D
AARomita;2019-02-05;2019-02;2019;15:56;0;0;@ VodafoneIT dopo reclamo formale per scarse prestazioni di rete e richiesta di informazioni formali su qualità e limiti servizio, rifiuta di fornire risposta scritta ai quesiti posti nel reclamo.;VODAFONE;D
graficalabrese;2019-02-05;2019-02;2019;15:25;0;0;@ VodafoneIT # tw190 vorrei assistenza sulla linea fissa a casa. Non funziona internet ne la linea telefonica da ieri x cui non posso contattarvi;VODAFONE;D
morenomartinez2;2019-02-05;2019-02;2019;14:28;0;0;@ VodafoneIT salve ho problemi di linea..non funziona da ieri sera.;VODAFONE;D
GGrenade1;2019-02-05;2019-02;2019;14:22;0;0;@ VodafoneIT Salve vorrei cambiare gestore telefonico, ma ho alcuni dubbi riguardo la copertura, è possibile parlarne via DM? Grazie mille;VODAFONE;D
ewan981;2019-02-05;2019-02;2019;13:21;0;0;Si ho già provato! Ma sulla Vodafone station risulta sia la linea telefonica che internet non funzionante...;VODAFONE;D
BenitoSepe;2019-02-05;2019-02;2019;12:47;0;0;Salve, ho dei problemi sulla rete fissa, potreste contattarmi in privato? Saluti..;VODAFONE;D
ewan981;2019-02-05;2019-02;2019;12:16;0;0;@ VodafoneIT buongiorno! Ho un problema con la linea telefonica e internet... potete verificare? Grazie!;VODAFONE;D
giovanniparenti;2019-02-05;2019-02;2019;11:41;0;0;@ VodafoneIT Salve sono in zona Prati/Monte Mario a Roma e non ho la connessione alla rete internet da circa un'ora.;VODAFONE;D
elmalodelatorre;2019-02-05;2019-02;2019;10:13;0;0;@ VodafoneIT Buongiorno, venerdì ho passato il mio numero a Vodafone. Vorrei sapere lo stato della mia portabilità ma il numero 42995 (chiamato da numero temporaneo Vodafone) pare di non funzionare e mi dice di richiamare tra 48 ore. Grazie;VODAFONE;D
Ntonio71;2019-02-04;2019-02;2019;18:38;0;0;@ VodafoneIT mandato poco fa dm per linea fissa tks;VODAFONE;D
Adonis18053548;2019-02-04;2019-02;2019;17:42;0;0;@ VodafoneIT praticamente seleziono prima che ho Già una Linea attiva e poi però quando digito il prefisso 0522 con le altre 7 cifre dice che non va bene. Come mai?;VODAFONE;D
passetour;2019-02-04;2019-02;2019;17:31;0;0;@ VodafoneIT da mercoledì sono senza collegamento internet tel fisso. Avevate detto 2 / 3 giorni. Ancora nulla però;VODAFONE;D
Adonis18053548;2019-02-04;2019-02;2019;16:35;0;0;Certamente. Mi chiedono se ho già una linea attiva e metto di sì e poi mi chiedono il prefisso con il numero della linea. Solo che quello che metto cioè 0522 più le altre 7 cifre non vanno bene;VODAFONE;D
Adonis18053548;2019-02-04;2019-02;2019;15:25;0;0;@ VodafoneIT salve ho un problema con il passare a tim. Praticamente quando inserisco il numero fisso della mia attuale Linea fissa Vodafone mi dice che il numero +prefisso deve avere 10 cifre solo che il mio ne ha 11. E anche Dice che un numero fisso non può iniziare con 1 o 0.;VODAFONE;D
avadore73;2019-02-03;2019-02;2019;18:06;0;0;@ VodafoneIT Buonasera, che sappiate ci sono problemi a qualche ripetitore a Genova? Oggi la linea e i dati non funzionano granché...;VODAFONE;D
anakcampedak;2019-02-03;2019-02;2019;11:59;0;0;@ VodafoneIT sono un nuovo cliente, utilizzo una tv lg per fruire di contenuti multimediali con dlna trasmessi da pc o mobile connessi in wifi, se la tv è connessa in wifi funziona se viene connessa tramite ethernet non viene rilevata come se ci fosse un firewall tra le due reti.;VODAFONE;D
gnerre;2019-02-02;2019-02;2019;20:32;0;0;Ho problemi a connettermi e scaricare dal mio cloud ho una connessione dati wap o web?;VODAFONE;D
vanbasko85;2019-02-02;2019-02;2019;16:56;0;0;Io come rientro a casa sono isolato;VODAFONE;D
vanbasko85;2019-02-02;2019-02;2019;16:56;0;0;Se non ce linea cosa mi mandate;VODAFONE;D
vanbasko85;2019-02-02;2019-02;2019;16:53;0;0;@ VodafoneIT a Fluminimaggiore provincia sud Sardegna non c'è nessuna copertura della linea Vodafone siamo isolati;VODAFONE;D
